instance_id,music_genre
20514,Alternative
46957,Electronic
5488,Classical
18150,Classical
20148,Classical
35663,Electronic
27890,Alternative
18166,Country
19306,Blues
4534,Classical
6846,Jazz
10171,Rock
47400,Classical
22246,Classical
7960,Hip-Hop
3818,Hip-Hop
48277,Electronic
38665,Electronic
31496,Anime
10426,Rock
47588,Jazz
3052,Anime
11768,Rock
1653,Rock
8044,Hip-Hop
42781,Classical
36061,Hip-Hop
6251,Blues
47534,Rap
13509,Hip-Hop
12886,Classical
16954,Hip-Hop
45980,Hip-Hop
2274,Country
19569,Jazz
31066,Hip-Hop
7890,Electronic
9141,Classical
47579,Anime
36897,Blues
24004,Classical
24416,Classical
43806,Country
23617,Country
16581,Rap
4722,Anime
32786,Alternative
23205,Hip-Hop
22189,Blues
12137,Alternative
3011,Jazz
11032,Country
7807,Electronic
1816,Hip-Hop
49088,Blues
23480,Electronic
3707,Blues
16004,Hip-Hop
31524,Alternative
32622,Blues
21597,Classical
47313,Jazz
19589,Electronic
1752,Alternative
36420,Jazz
36155,Rap
17956,Electronic
11277,Anime
13986,Country
31354,Alternative
19109,Country
14543,Electronic
7379,Rap
37742,Hip-Hop
50710,Rap
39114,Electronic
48926,Rock
47599,Alternative
16521,Anime
42679,Rock
30226,Alternative
14356,Rock
35924,Country
21604,Rock
10995,Alternative
48551,Rock
27826,Hip-Hop
13339,Jazz
24024,Jazz
39874,Hip-Hop
19614,Rock
24875,Blues
33357,Country
49098,Rock
7326,Rap
19433,Rock
46944,Anime
14201,Country
48833,Blues
36269,Blues
1550,Blues
27274,Blues
3356,Rap
16763,Anime
37887,Jazz
30921,Rock
47970,Electronic
39382,Alternative
40132,Jazz
29201,Classical
13553,Electronic
43815,Anime
46361,Electronic
36820,Rock
27270,Alternative
32695,Country
33819,Anime
14787,Hip-Hop
41199,Alternative
20710,Country
49980,Country
43347,Anime
11087,Jazz
22648,Blues
42035,Jazz
40462,Electronic
37219,Anime
35632,Alternative
9998,Alternative
45435,Blues
27928,Blues
30182,Rap
41924,Electronic
24278,Rap
16049,Rock
6367,Blues
37767,Hip-Hop
14637,Hip-Hop
47950,Hip-Hop
31725,Jazz
14434,Country
29340,Classical
14851,Alternative
41411,Anime
22061,Jazz
48038,Classical
46303,Blues
43321,Blues
32895,Country
44204,Jazz
37687,Jazz
18701,Anime
1574,Rap
2503,Alternative
12527,Country
3442,Hip-Hop
40375,Jazz
11077,Alternative
3835,Anime
33489,Alternative
47418,Alternative
11073,Jazz
4193,Anime
36533,Rap
29426,Rap
19679,Rap
11634,Country
15537,Country
38519,Hip-Hop
21620,Classical
12024,Jazz
25677,Alternative
44586,Rock
50547,Jazz
